c_as,total_n,total_m,total_bw,b_n,b_m,b_bw
54885,4998.0,4998.0,17429.0,3169.0,3169.0,5553.0
204094,4999.0,4999.0,16805.0,2798.0,2798.0,6402.0
47665,4996.0,4996.0,20958.0,3568.0,3568.0,9347.0
45219,4997.0,4997.0,17155.0,2353.0,2353.0,5463.0
133451,4998.0,4998.0,19493.0,3734.0,3734.0,8448.0
8700,4996.0,4996.0,22766.0,2430.0,2430.0,8583.0
31248,4998.0,4998.0,17327.0,2858.0,2858.0,6140.0
14623,4998.0,4998.0,16469.0,3034.0,3034.0,5776.0
59930,4998.0,4998.0,15438.0,4998.0,4998.0,7005.0
61344,4999.0,4999.0,22897.0,1398.0,1398.0,6074.0
31671,4997.0,4997.0,21109.0,4893.0,4893.0,11987.0
31872,4997.0,4997.0,19583.0,1932.0,1932.0,5858.0
132994,4999.0,4999.0,17510.0,2191.0,2191.0,4907.0
39407,4994.0,4994.0,15400.0,2400.0,2400.0,5088.0
44687,4999.0,4999.0,21909.0,1940.0,1940.0,6879.0
46874,4997.0,4997.0,18435.0,2463.0,2463.0,6213.0
133627,4998.0,4998.0,19218.0,3033.0,3033.0,6996.0
62436,4999.0,4999.0,23638.0,2400.0,2400.0,8654.0
14198,4998.0,4998.0,16838.0,1158.0,1158.0,2947.0
205739,4998.0,4998.0,24430.0,3248.0,3248.0,10216.0
266157,4997.0,4997.0,21393.0,2271.0,2271.0,6579.0
28728,4997.0,4997.0,15523.0,3517.0,3517.0,5616.0
44162,4996.0,4996.0,18288.0,3868.0,3868.0,9067.0
22227,1.0,1.0,3.0,0.0,0.0,0.0
16091,4997.0,4997.0,18889.0,2617.0,2617.0,6745.0
393644,4998.0,4998.0,17181.0,2125.0,2125.0,4898.0
267021,4998.0,4998.0,19905.0,2449.0,2449.0,6518.0
35850,4997.0,4997.0,16239.0,2936.0,2936.0,4956.0
372,4998.0,4998.0,23576.0,3844.0,3844.0,12771.0
50361,4996.0,4996.0,17103.0,2139.0,2139.0,4938.0
7060,4995.0,4995.0,14517.0,4995.0,4995.0,6313.0
19371,4997.0,4997.0,22798.0,2712.0,2712.0,8764.0
38380,4997.0,4997.0,22202.0,2051.0,2051.0,6604.0
4986,4995.0,4995.0,16046.0,2680.0,2680.0,5154.0
55164,4997.0,4997.0,17372.0,4097.0,4097.0,7733.0
2103,4999.0,4999.0,18241.0,2094.0,2094.0,5642.0
134239,4997.0,4997.0,15521.0,1820.0,1820.0,3938.0
201854,4998.0,4998.0,21911.0,949.0,949.0,3838.0
44424,5000.0,5000.0,18758.0,2054.0,2054.0,4878.0
394567,4998.0,4998.0,23239.0,2379.0,2379.0,7904.0
19002,4998.0,4998.0,14671.0,4998.0,4998.0,6392.0
12311,4994.0,4994.0,15397.0,3048.0,3048.0,6343.0
50913,4998.0,4998.0,18074.0,4914.0,4914.0,10443.0
28182,4997.0,4997.0,23737.0,3392.0,3392.0,11134.0
135333,4996.0,4996.0,16445.0,1824.0,1824.0,4052.0
201141,4997.0,4997.0,21643.0,2295.0,2295.0,7175.0
54173,4995.0,4995.0,14643.0,2283.0,2283.0,4617.0
196894,4998.0,4998.0,15471.0,2458.0,2458.0,5229.0
49421,4998.0,4998.0,15772.0,1769.0,1769.0,4037.0
50762,4998.0,4998.0,17551.0,3172.0,3172.0,7060.0
61051,4998.0,4998.0,22544.0,1116.0,1116.0,5458.0
134183,4998.0,4998.0,16968.0,1803.0,1803.0,4211.0
46408,4997.0,4997.0,17471.0,3077.0,3077.0,6862.0
36733,5000.0,5000.0,16361.0,2411.0,2411.0,4884.0
18553,4999.0,4999.0,19391.0,2292.0,2292.0,5338.0
133644,4999.0,4999.0,18811.0,3367.0,3367.0,7575.0
23971,4998.0,4998.0,16130.0,2200.0,2200.0,4714.0
58260,4999.0,4999.0,15835.0,2060.0,2060.0,4440.0
198971,4996.0,4996.0,15692.0,3348.0,3348.0,5156.0
196912,4997.0,4997.0,23575.0,2643.0,2643.0,9318.0
13053,4996.0,4996.0,14759.0,1722.0,1722.0,3641.0
4566,4998.0,4998.0,13994.0,4998.0,4998.0,6222.0
33996,4998.0,4998.0,18619.0,3862.0,3862.0,8383.0
62928,4999.0,4999.0,14121.0,2392.0,2392.0,4210.0
201530,4999.0,4999.0,18616.0,1825.0,1825.0,3908.0
6448,4998.0,4998.0,17670.0,1672.0,1672.0,5395.0
40764,4996.0,4996.0,18314.0,2561.0,2561.0,6395.0
42865,4999.0,4999.0,17347.0,4586.0,4586.0,9649.0
17069,5000.0,5000.0,20612.0,1871.0,1871.0,5209.0
5958,4997.0,4997.0,30107.0,2963.0,2963.0,13190.0
37020,4996.0,4996.0,14500.0,2753.0,2753.0,3981.0
35382,4997.0,4997.0,25007.0,4108.0,4108.0,12427.0
33372,4997.0,4997.0,16488.0,2692.0,2692.0,5205.0
45241,4999.0,4999.0,21573.0,3421.0,3421.0,9001.0
43007,4998.0,4998.0,15554.0,4753.0,4753.0,6845.0
268409,4998.0,4998.0,23006.0,2262.0,2262.0,7274.0
12213,4998.0,4998.0,14023.0,4998.0,4998.0,6224.0
