c_as,total_n,total_m,total_bw,b_n,b_m,b_bw
35157,4996.0,4996.0,13317.0,4955.0,4955.0,5667.0
21301,4996.0,4996.0,16758.0,1926.0,1926.0,4318.0
15526,4997.0,4997.0,19701.0,2573.0,2573.0,6219.0
42746,4998.0,4998.0,18727.0,3779.0,3779.0,8310.0
62609,4996.0,4996.0,14264.0,4533.0,4533.0,5935.0
51819,4997.0,4997.0,18080.0,3781.0,3781.0,8882.0
48748,4999.0,4999.0,19757.0,1376.0,1376.0,4456.0
203145,4996.0,4996.0,16782.0,3171.0,3171.0,6824.0
11436,4995.0,4995.0,16002.0,2687.0,2687.0,5162.0
205487,4999.0,4999.0,14206.0,1867.0,1867.0,3857.0
51231,4997.0,4997.0,14417.0,1550.0,1550.0,3339.0
40369,4999.0,4999.0,15995.0,3788.0,3788.0,5466.0
205704,4999.0,4999.0,17119.0,3427.0,3427.0,7608.0
12557,4998.0,4998.0,17517.0,4279.0,4279.0,7938.0
10939,4998.0,4998.0,27080.0,3168.0,3168.0,9045.0
24825,4997.0,4997.0,19816.0,1821.0,1821.0,5683.0
395499,4998.0,4998.0,18227.0,4948.0,4948.0,10910.0
199316,4998.0,4998.0,15082.0,2320.0,2320.0,4804.0
49672,4998.0,4998.0,20006.0,2471.0,2471.0,6818.0
46621,4998.0,4998.0,17587.0,1925.0,1925.0,4659.0
49649,4999.0,4999.0,19394.0,2940.0,2940.0,7269.0
52358,4996.0,4996.0,16755.0,4914.0,4914.0,8919.0
31421,4999.0,4999.0,18851.0,1279.0,1279.0,3958.0
45119,4999.0,4999.0,17467.0,2112.0,2112.0,4897.0
55200,4997.0,4997.0,16802.0,4948.0,4948.0,7712.0
58390,4995.0,4995.0,16943.0,3931.0,3931.0,8299.0
266870,4997.0,4997.0,21830.0,4997.0,4997.0,13806.0
43349,4997.0,4997.0,16089.0,1820.0,1820.0,4548.0
58609,4998.0,4998.0,22331.0,2013.0,2013.0,6392.0
29109,4998.0,4998.0,18134.0,3343.0,3343.0,7501.0
31767,4999.0,4999.0,16161.0,4999.0,4999.0,7597.0
11594,4996.0,4996.0,14711.0,2256.0,2256.0,4709.0
18082,4996.0,4996.0,18286.0,2295.0,2295.0,6131.0
131316,4998.0,4998.0,21468.0,1749.0,1749.0,5794.0
14382,4999.0,4999.0,15318.0,4916.0,4916.0,6917.0
263816,4997.0,4997.0,20942.0,4982.0,4982.0,12124.0
19495,5000.0,5000.0,17445.0,3477.0,3477.0,7748.0
137084,4997.0,4997.0,17738.0,2393.0,2393.0,5619.0
9352,4997.0,4997.0,18800.0,1402.0,1402.0,4092.0
8137,4998.0,4998.0,14630.0,4980.0,4980.0,5966.0
8325,4998.0,4998.0,16074.0,1819.0,1819.0,4351.0
50217,4999.0,4999.0,15801.0,3095.0,3095.0,6453.0
21415,4997.0,4997.0,18183.0,3544.0,3544.0,7621.0
59417,4997.0,4997.0,15989.0,1698.0,1698.0,4165.0
17256,4996.0,4996.0,19018.0,4708.0,4708.0,10651.0
50013,4997.0,4997.0,19182.0,2470.0,2470.0,5948.0
50166,4997.0,4997.0,15032.0,2378.0,2378.0,4912.0
46835,4999.0,4999.0,17470.0,2505.0,2505.0,5764.0
17326,4997.0,4997.0,17348.0,2404.0,2404.0,5379.0
26859,5000.0,5000.0,14367.0,2414.0,2414.0,4371.0
395485,4997.0,4997.0,17878.0,3495.0,3495.0,7485.0
48079,4998.0,4998.0,15944.0,1792.0,1792.0,4442.0
135522,4998.0,4998.0,23891.0,3551.0,3551.0,11540.0
20790,4998.0,4998.0,19009.0,1129.0,1129.0,3599.0
204130,4998.0,4998.0,23656.0,3057.0,3057.0,9550.0
55032,4998.0,4998.0,19207.0,1294.0,1294.0,3861.0
8396,5000.0,5000.0,18185.0,2584.0,2584.0,6222.0
22530,4999.0,4999.0,15833.0,4999.0,4999.0,7133.0
18844,4996.0,4996.0,14343.0,4996.0,4996.0,6302.0
52590,5000.0,5000.0,26728.0,2942.0,2942.0,10920.0
44586,4999.0,4999.0,19479.0,2407.0,2407.0,6004.0
16882,4998.0,4998.0,19135.0,2051.0,2051.0,5653.0
10442,4998.0,4998.0,14682.0,4998.0,4998.0,6417.0
205606,4998.0,4998.0,21673.0,3067.0,3067.0,9426.0
50566,4999.0,4999.0,14793.0,1628.0,1628.0,3591.0
35966,4997.0,4997.0,16116.0,2835.0,2835.0,4652.0
201403,4999.0,4999.0,14600.0,2065.0,2065.0,3835.0
197896,4996.0,4996.0,23206.0,2168.0,2168.0,8273.0
200488,5000.0,5000.0,21078.0,2504.0,2504.0,7326.0
204967,4997.0,4997.0,23104.0,3099.0,3099.0,9448.0
262289,4997.0,4997.0,21474.0,3478.0,3478.0,8276.0
59339,4996.0,4996.0,21748.0,1814.0,1814.0,5961.0
54576,4997.0,4997.0,14676.0,2229.0,2229.0,4504.0
7676,4998.0,4998.0,15205.0,2587.0,2587.0,5338.0
395938,4998.0,4998.0,18630.0,2277.0,2277.0,6114.0
262204,4998.0,4998.0,20694.0,3791.0,3791.0,8897.0
328264,4996.0,4996.0,17801.0,4281.0,4281.0,9278.0
27937,4997.0,4997.0,18876.0,4665.0,4665.0,10056.0
327756,4997.0,4997.0,15296.0,3326.0,3326.0,4837.0
132905,4998.0,4998.0,15396.0,1700.0,1700.0,3597.0
266524,4997.0,4997.0,23900.0,2343.0,2343.0,7148.0
26101,4998.0,4998.0,17175.0,3092.0,3092.0,6709.0
43236,4997.0,4997.0,14874.0,4997.0,4997.0,6616.0
15407,4997.0,4997.0,15772.0,4997.0,4997.0,7096.0
20061,4997.0,4997.0,21454.0,2384.0,2384.0,7212.0
197765,4996.0,4996.0,14682.0,1557.0,1557.0,3386.0
16809,5000.0,5000.0,14529.0,5000.0,5000.0,6374.0
27996,4999.0,4999.0,25459.0,3169.0,3169.0,8330.0
268564,4999.0,4999.0,27976.0,3163.0,3163.0,10970.0
394543,4997.0,4997.0,16751.0,4997.0,4997.0,7916.0
47874,4995.0,4995.0,18480.0,3486.0,3486.0,7758.0
50995,4999.0,4999.0,19677.0,2549.0,2549.0,6194.0
266238,4999.0,4999.0,26069.0,2518.0,2518.0,9875.0
30138,4998.0,4998.0,17349.0,2345.0,2345.0,5418.0
394220,4997.0,4997.0,16313.0,4997.0,4997.0,7155.0
137641,4996.0,4996.0,21113.0,1394.0,1394.0,4574.0
59197,4997.0,4997.0,17002.0,2366.0,2366.0,5148.0
57774,4998.0,4998.0,18652.0,1392.0,1392.0,4291.0
