Number of selected Tier 1 AS,c1,FlowSpec block rate,FlowSpec bandwidth saving,c4,FRIEND block rate,FRIEND bandwidth saving
1000,0.08068332457917511,0.08068332457917511,0.022010377175108373,0.14901078012055727,0.14901078012055727,0.07592574216376471
1000,0.024811785598159126,0.024811785598159126,0.006909507607526918,0.12408393987143894,0.12408393987143894,0.09191697716178687
1000,0.09993246792226307,0.09993246792226307,0.02759589099752193,0.24157975038143117,0.24157975038143117,0.14567601844891545
1000,0.09205372551962182,0.09205372551962182,0.02610198014553057,0.2540906930792126,0.2540906930792126,0.15596755535558204
1000,0.01441184562667267,0.01441184562667267,0.003931201259289366,0.08816187689152348,0.08816187689152348,0.06613580043852196
1000,0.0,0.0,0.0,0.09347440034016158,0.09347440034016158,0.08194896235045598
1000,0.024976864010404942,0.024976864010404942,0.0067885266559097835,0.1515519871939171,0.1515519871939171,0.12580387764339981
1000,0.02500187589104825,0.02500187589104825,0.007216717664442339,0.10885170455966584,0.10885170455966584,0.07594613221179007
1000,0.0,0.0,0.0,0.09467497061104024,0.09467497061104024,0.07953342132771837
1000,0.055656436807483556,0.055656436807483556,0.015417594980242044,0.13235286761211576,0.13235286761211576,0.08434411332516825
1500,0.09535029138840949,0.09535029138840949,0.02601634194382406,0.18729396463320078,0.18729396463320078,0.10366300416092913
1500,0.03873840074035167,0.03873840074035167,0.011355897413590374,0.24177984542657763,0.24177984542657763,0.17216269083385782
1500,0.1509466996823491,0.1509466996823491,0.043580329312868975,0.3256696931042245,0.3256696931042245,0.20086372243435424
1500,0.13168755158700382,0.13168755158700382,0.042834053555140805,0.3409269402966409,0.3409269402966409,0.22735719150197173
1500,0.039408719141592254,0.039408719141592254,0.010723805924804222,0.1315875040644306,0.1315875040644306,0.09533978655697727
1500,0.0012105750231359896,0.0012105750231359896,0.0003289594414758045,0.19278657362247067,0.19278657362247067,0.15033310541790762
1500,0.07383507165903805,0.07383507165903805,0.020221490295016808,0.2415147194917586,0.2415147194917586,0.17307888365846397
1500,0.12229809159350692,0.12229809159350692,0.03472832979679278,0.2523798804432105,0.2523798804432105,0.15553120832783934
1500,0.09139341187063856,0.09139341187063856,0.030404280278881483,0.22068482529201372,0.22068482529201372,0.14326591477231793
1500,0.055656436807483556,0.055656436807483556,0.01547468711471305,0.16803481653785549,0.16803481653785549,0.11485849986338668
2000,0.09972236812485931,0.09972236812485931,0.027442285969064218,0.22188539556289238,0.22188539556289238,0.1375852473924527
2000,0.09259898451764588,0.09259898451764588,0.02753064284384078,0.34072684525149444,0.34072684525149444,0.23688206260288477
2000,0.17593857082114003,0.17593857082114003,0.05309840373110692,0.3852880118056077,0.3852880118056077,0.24748216890300181
2000,0.18054075685950827,0.18054075685950827,0.05803959203591911,0.4290838148120357,0.4290838148120357,0.29833087066864405
2000,0.08404992371376403,0.08404992371376403,0.02360216025762146,0.18891473449888696,0.18891473449888696,0.12687095682339364
2000,0.0511993196768465,0.0511993196768465,0.013948152185881114,0.28167879742877866,0.28167879742877866,0.21225088458825017
2000,0.07383507165903805,0.07383507165903805,0.020296253804443127,0.29538530802131013,0.29538530802131013,0.220120083789504
2000,0.1773092218803932,0.1773092218803932,0.051949764359011656,0.35710462469673093,0.35710462469673093,0.21740277005599107
2000,0.1995247742677772,0.1995247742677772,0.06156299233470128,0.3612265826267477,0.3612265826267477,0.21438096493863276
2000,0.08181386158425252,0.08181386158425252,0.023184843941369097,0.22488682124008905,0.22488682124008905,0.15942978551028814
2500,0.1011130286886271,0.1011130286886271,0.027976505227328644,0.24867311973187264,0.24867311973187264,0.1622721582050233
2500,0.11899152097246192,0.11899152097246192,0.0355058702948265,0.40165578649858685,0.40165578649858685,0.2746294788439658
2500,0.22982416647907755,0.22982416647907755,0.06994194273658913,0.4328205897801456,0.4328205897801456,0.2691282438867238
2500,0.18837948025312024,0.18837948025312024,0.06583810573735172,0.5879092568970261,0.5879092568970261,0.41350745528122634
2500,0.1079062554713489,0.1079062554713489,0.030234363212003484,0.24864310547510068,0.24864310547510068,0.1709202572408459
2500,0.09858182636752458,0.09858182636752458,0.02807709613092042,0.34743503164002904,0.34743503164002904,0.25024434074217056
2500,0.12056726945299016,0.12056726945299016,0.033181404819935485,0.36673920112053227,0.36673920112053227,0.26216164414472587
2500,0.1803056451814612,0.1803056451814612,0.05322482202886415,0.3848728145869288,0.3848728145869288,0.2455478330136627
2500,0.1995247742677772,0.1995247742677772,0.07016895193793814,0.39739876441309624,0.39739876441309624,0.26132429283915104
2500,0.0901778344713739,0.0901778344713739,0.025592228944896576,0.2868312448412996,0.2868312448412996,0.20880496647196436
3000,0.17467797203671745,0.17467797203671745,0.048143622060944496,0.3635676946549611,0.3635676946549611,0.2304265733980559
3000,0.18268677621870388,0.18268677621870388,0.05620720638670677,0.460403691753583,0.460403691753583,0.3087732939306983
3000,0.25482103999399713,0.25482103999399713,0.08052029965214579,0.47515069658087594,0.47515069658087594,0.30529067372796687
3000,0.21998949501012982,0.21998949501012982,0.07859819779162186,0.622555713964133,0.622555713964133,0.4415655207006564
3000,0.19377704409594557,0.19377704409594557,0.055149642562458114,0.4159675846026863,0.4159675846026863,0.26309822701735736
3000,0.1024386583627223,0.1024386583627223,0.03143193869935962,0.4036267226932793,0.4036267226932793,0.29562715030048137
3000,0.1764588179385208,0.1764588179385208,0.05320307264430377,0.41408168880218105,0.41408168880218105,0.294190331582961
3000,0.21216077636877517,0.21216077636877517,0.06478461992270812,0.4481278607338486,0.4481278607338486,0.2961137927800199
3000,0.1995247742677772,0.1995247742677772,0.0709097903495262,0.4461619269152848,0.4461619269152848,0.31429084092636067
3000,0.17049098321702807,0.17049098321702807,0.05157050946573996,0.42243065456091644,0.42243065456091644,0.2802367420509398
3500,0.17767439533778545,0.17767439533778545,0.04985502675853969,0.4256771966684175,0.4256771966684175,0.29526828545523504
3500,0.18268677621870388,0.18268677621870388,0.058542546553877986,0.48696630899677346,0.48696630899677346,0.33755452638676114
3500,0.25752732547960283,0.25752732547960283,0.08311255442443652,0.5260848903229034,0.5260848903229034,0.3608345238855819
3500,0.24816287736674922,0.24816287736674922,0.08752088280751931,0.6625947324979365,0.6625947324979365,0.47216690477711637
3500,0.19377704409594557,0.19377704409594557,0.05952806554177037,0.4933193266801731,0.4933193266801731,0.32784070750747973
3500,0.1478852454916085,0.1478852454916085,0.046831862304646345,0.4541707310972712,0.4541707310972712,0.32322575997107333
3500,0.2337410269878192,0.2337410269878192,0.0704109138411724,0.4945148945749231,0.4945148945749231,0.35008489056661224
3500,0.2260223606212951,0.2260223606212951,0.06975979164089591,0.5050198844451115,0.5050198844451115,0.3342934780392386
3500,0.20462719791901154,0.20462719791901154,0.07350748246795703,0.4667517070608539,0.4667517070608539,0.33578738889122994
3500,0.18053075210725095,0.18053075210725095,0.05730283163393611,0.5096720942447662,0.5096720942447662,0.3438183491401517
4000,0.17767439533778545,0.17767439533778545,0.05030768582470268,0.44048923238538307,0.44048923238538307,0.31067500574319684
4000,0.18268677621870388,0.18268677621870388,0.061909623151132395,0.5151146794727496,0.5151146794727496,0.3650158430673157
4000,0.29790150321402664,0.29790150321402664,0.1225727346996478,0.6093894599934969,0.6093894599934969,0.43413130919061027
4000,0.24965858782921888,0.24965858782921888,0.08872253630448051,0.7013181261099022,0.7013181261099022,0.5068422204490433
4000,0.2119006528100848,0.2119006528100848,0.06580955967011622,0.5267502063480153,0.5267502063480153,0.3613143696824454
4000,0.16174682974412846,0.16174682974412846,0.05073995484284031,0.47144393586953803,0.47144393586953803,0.33704341584959213
4000,0.25726720192091246,0.25726720192091246,0.07750936922706765,0.5274505390060279,0.5274505390060279,0.37370064418958393
4000,0.24882819339186113,0.24882819339186113,0.07810883663901323,0.5527375503364098,0.5527375503364098,0.3811579644207255
4000,0.22804832295340285,0.22804832295340285,0.08377862932659827,0.5162252069733123,0.5162252069733123,0.3729339783838304
4000,0.18053075210725095,0.18053075210725095,0.058331849390949264,0.5445736724944349,0.5445736724944349,0.38421103427838943
4500,0.19432230309396964,0.19432230309396964,0.05669520820278039,0.48258422750806634,0.48258422750806634,0.3502235428931847
4500,0.19007528576073635,0.19007528576073635,0.06411854502054637,0.5501663290062779,0.5501663290062779,0.40144470286942346
4500,0.3228983767289462,0.3228983767289462,0.1329730185291163,0.6628698631850128,0.6628698631850128,0.49144773418989657
4500,0.28731647532577975,0.28731647532577975,0.10436442181300151,0.748350466471574,0.748350466471574,0.5433037043279916
4500,0.2619044045921813,0.2619044045921813,0.08561373364888065,0.586728696130662,0.586728696130662,0.4064212339241463
4500,0.2205197468797679,0.2205197468797679,0.06815713386610263,0.5462794827543083,0.5462794827543083,0.39043679560879924
4500,0.27223431129786646,0.27223431129786646,0.08418099294096537,0.557399764888322,0.557399764888322,0.4042694041892033
4500,0.27383507165903803,0.27383507165903803,0.08577005735040841,0.5884345063905355,0.5884345063905355,0.406686304548476
4500,0.22804832295340285,0.22804832295340285,0.09209640958441004,0.5480953452890123,0.5480953452890123,0.40462690969791465
4500,0.2505990345414072,0.2505990345414072,0.08398388914338689,0.6207448538055577,0.6207448538055577,0.4330751047028966
5000,0.2048773167254446,0.2048773167254446,0.059873337021666466,0.5227483054450864,0.5227483054450864,0.38496274738225766
5000,0.21507215927565593,0.21507215927565593,0.07539560091510536,0.5778944998874466,0.5778944998874466,0.4263491075275979
5000,0.3475550886671169,0.3475550886671169,0.14361798293488914,0.6870513493909607,0.6870513493909607,0.5102392024500682
5000,0.33609464495635427,0.33609464495635427,0.1377388524209104,0.7769740626797729,0.7769740626797729,0.5658428634152243
5000,0.2868962757309722,0.2868962757309722,0.09598547141111366,0.627603111477952,0.627603111477952,0.4377376290180289
5000,0.2538755909056802,0.2538755909056802,0.07866480528183804,0.5875040644306045,0.5875040644306045,0.41644226286034314
5000,0.2785022885870789,0.2785022885870789,0.08616834295517044,0.57306220454716,0.57306220454716,0.42228061327827116
5000,0.27383507165903803,0.27383507165903803,0.10012329182372667,0.6697631374903079,0.6697631374903079,0.4722851670556635
5000,0.22804832295340285,0.22804832295340285,0.0973815100325833,0.6136264725744729,0.6136264725744729,0.4572644983436484
5000,0.2608639103574198,0.2608639103574198,0.08836367145923418,0.6610439958980516,0.6610439958980516,0.4673099953374757
5500,0.2048773167254446,0.2048773167254446,0.06022948319384275,0.5554688477026588,0.5554688477026588,0.43320016366411884
5500,0.21507215927565593,0.21507215927565593,0.07679163953657499,0.6301893399364699,0.6301893399364699,0.46886507633354313
5500,0.3867537080113054,0.3867537080113054,0.15869710311791022,0.7216677922012956,0.7216677922012956,0.5379288876685068
5500,0.4001050498987019,0.4001050498987019,0.16547339574500478,0.817063104974863,0.817063104974863,0.596036446531177
5500,0.31049748630599533,0.31049748630599533,0.10445141935124305,0.667872239313674,0.667872239313674,0.4688406082759127
5500,0.2538755909056802,0.2538755909056802,0.08098927075672906,0.6051424426602636,0.6051424426602636,0.43638508916568003
5500,0.2905480103048948,0.2905480103048948,0.09260752012157906,0.6333808559065556,0.6333808559065556,0.48839058632262766
5500,0.38085090417948525,0.38085090417948525,0.16617345406054213,0.8279582801830869,0.8279582801830869,0.5818476917785967
5500,0.27101373152247316,0.27101373152247316,0.11233149324477709,0.6935294264775769,0.6935294264775769,0.519807572320102
5500,0.27080863410119804,0.27080863410119804,0.093907045849062,0.6741202070983717,0.6741202070983717,0.48093190675495107
6000,0.22986918786423552,0.22986918786423552,0.069651044718094,0.5854580925939822,0.5854580925939822,0.4571938128438272
6000,0.2965358545309022,0.2965358545309022,0.11113255842088593,0.7203371601510717,0.7203371601510717,0.5208039660002746
6000,0.4300792876616393,0.4300792876616393,0.20641253417032215,0.8453565443585703,0.8453565443585703,0.6323973395065337
6000,0.4268077336734949,0.4268077336734949,0.20300603681355203,0.8833095720467222,0.8833095720467222,0.6570543449153338
6000,0.3505515119681849,0.3505515119681849,0.11743716127032718,0.6984767764688227,0.6984767764688227,0.4873670059117546
6000,0.2621345138940997,0.2621345138940997,0.08875923839092616,0.6404342062479678,0.6404342062479678,0.47211389065225046
6000,0.3078662364623196,0.3078662364623196,0.10110609213854901,0.6482429153848078,0.6482429153848078,0.5053428722509118
6000,0.42963407618618843,0.42963407618618843,0.1868353693929067,0.8500637802956404,0.8500637802956404,0.601923733064366
6000,0.31274855556389286,0.31274855556389286,0.13318507502858004,0.7334483879842926,0.7334483879842926,0.5554656883068512
6000,0.2764913333833571,0.2764913333833571,0.10088316094680508,0.6811885645681699,0.6811885645681699,0.49269560512904864
6500,0.27660138565818765,0.27660138565818765,0.08896993555385488,0.6271328881218579,0.6271328881218579,0.48582279960796737
6500,0.3381756334258773,0.3381756334258773,0.13655215162583445,0.7665240989469998,0.7665240989469998,0.5731683280024685
6500,0.4550861659288162,0.4550861659288162,0.2242891689424226,0.8656111653035192,0.8656111653035192,0.6531041129445541
6500,0.45920312148270426,0.45920312148270426,0.22648177877341627,0.8920937445286511,0.8920937445286511,0.6739345860072615
6500,0.36441309622070484,0.36441309622070484,0.1366228371256557,0.7366549110827643,0.7366549110827643,0.5331154769979868
6500,0.28828693629474,0.28828693629474,0.10066566710120124,0.6935194217253196,0.6935194217253196,0.5226757724090026
6500,0.3092568970260874,0.3092568970260874,0.10216365596279768,0.669658087591606,0.669658087591606,0.533070618892331
6500,0.42963407618618843,0.42963407618618843,0.19401130696129834,0.8724644205997849,0.8724644205997849,0.6341807890404851
6500,0.36273730021760336,0.36273730021760336,0.1502814506295767,0.7814261774342813,0.7814261774342813,0.5862342707771191
6500,0.32649008278932495,0.32649008278932495,0.13643388934728737,0.8028413496410796,0.8028413496410796,0.5836583280432487
7000,0.3004577174157725,0.3004577174157725,0.09567146467152313,0.6494734999124584,0.6494734999124584,0.500763267464416
7000,0.3628323453640479,0.3628323453640479,0.14897784689248872,0.7898501788349466,0.7898501788349466,0.5946105025059369
7000,0.46247467547084864,0.46247467547084864,0.2316010401643166,0.8831394912583477,0.8831394912583477,0.6878854568662127
7000,0.4785222980915935,0.4785222980915935,0.23982774487428177,0.8964358070083289,0.8964358070083289,0.6835953907616771
7000,0.36441309622070484,0.36441309622070484,0.1380379064586157,0.7589555038643355,0.7589555038643355,0.5635306319691485
7000,0.31595007628623595,0.31595007628623595,0.11603976331232252,0.7377504314549411,0.7377504314549411,0.5741375349519406
7000,0.36096145669192864,0.36096145669192864,0.14976218407319755,0.7809759635827018,0.7809759635827018,0.6189018463868156
7000,0.45349040794377327,0.45349040794377327,0.2142545466408755,0.8774317800955453,0.8774317800955453,0.6493944835404736
7000,0.3779645331532478,0.3779645331532478,0.15693268429544907,0.7939971486456067,0.7939971486456067,0.602944594802169
7000,0.34580925939821416,0.34580925939821416,0.14618169163994438,0.833050699082064,0.833050699082064,0.6079143291742166
7500,0.342637752932643,0.342637752932643,0.12360854913933607,0.7130537005077412,0.7130537005077412,0.5648559850907969
7500,0.4528851204322053,0.4528851204322053,0.19521703846786462,0.8260373677496811,0.8260373677496811,0.6246382465646168
7500,0.4674720492233811,0.4674720492233811,0.2386627934637662,0.892258822940897,0.892258822940897,0.7058477298400196
7500,0.48237913008679123,0.48237913008679123,0.2455192869464272,0.9106125409569545,0.9106125409569545,0.7076760374796269
7500,0.40278132112753556,0.40278132112753556,0.16292328040529977,0.7883844826292489,0.7883844826292489,0.6059650405829923
7500,0.43720767364498136,0.43720767364498136,0.16715489503882944,0.8208749155849028,0.8208749155849028,0.6210169740353129
7500,0.36096645906805735,0.36096645906805735,0.156191845883861,0.8016107651134289,0.8016107651134289,0.645116651464753
7500,0.4784972862109502,0.4784972862109502,0.22879129154642203,0.8836297241189565,0.8836297241189565,0.6577775119519664
7500,0.3779645331532478,0.3779645331532478,0.16054851947861287,0.8020309647082364,0.8020309647082364,0.6186055110221803
7500,0.3708011305370051,0.3708011305370051,0.15792228129294653,0.8631549986243465,0.8631549986243465,0.6487229712921717
8000,0.3926314999624822,0.3926314999624822,0.1564297297774902,0.8095295265250995,0.8095295265250995,0.6356135297484004
8000,0.4782271579000025,0.4782271579000025,0.20706909371673873,0.8422350616542857,0.8422350616542857,0.6408700841293381
8000,0.48843200520247115,0.48843200520247115,0.25409126313628844,0.9031990195342788,0.9031990195342788,0.71946556324789
8000,0.5323728771166304,0.5323728771166304,0.27704909787630855,0.9254145719216628,0.9254145719216628,0.7205108930433234
8000,0.40278132112753556,0.40278132112753556,0.16747977647070017,0.8023611215327281,0.8023611215327281,0.6304562069345194
8000,0.46221455191215827,0.46221455191215827,0.18689518020044776,0.8403691753582951,0.8403691753582951,0.6478122158137056
8000,0.36096645906805735,0.36096645906805735,0.15873108653128581,0.8094294790025262,0.8094294790025262,0.6552233186026564
8000,0.5046547109877192,0.5046547109877192,0.251912246670645,0.8962207048347965,0.8962207048347965,0.6841663121063871
8000,0.4033115729971737,0.4033115729971737,0.20776915203227608,0.8380880918436258,0.8380880918436258,0.6598314694563877
8000,0.4096695930567019,0.4096695930567019,0.17930056697926877,0.8750206348015307,0.8750206348015307,0.6656018530475646
8500,0.4009954728496036,0.4009954728496036,0.165542721908291,0.846617143142993,0.846617143142993,0.6782966969481535
8500,0.4782271579000025,0.4782271579000025,0.2117642421087116,0.8564117956029114,0.8564117956029114,0.6646761448672132
8500,0.5645831770090793,0.5645831770090793,0.31669958526642317,0.9312523448638103,0.9312523448638103,0.744405310655975
8500,0.55736975063155,0.55736975063155,0.2932102499412087,0.933678497286211,0.933678497286211,0.7306977610367932
8500,0.4265125934819039,0.4265125934819039,0.1768034657644297,0.8355468847702658,0.8355468847702658,0.6764928573661767
8500,0.5118781421175058,0.5118781421175058,0.22106754135441573,0.8731647532577974,0.8731647532577974,0.6795744732910761
8500,0.36096645906805735,0.36096645906805735,0.16038268042133996,0.8135764488131862,0.8135764488131862,0.6630680497462799
8500,0.559450739101073,0.559450739101073,0.2844194205692086,0.905720217103124,0.905720217103124,0.6982055398401148
8500,0.41743828318451265,0.41743828318451265,0.22177711502569825,0.8476326254971112,0.8476326254971112,0.6741915006123811
8500,0.4334558915484855,0.4334558915484855,0.20112471504907883,0.8865961331632526,0.8865961331632526,0.6796737048581328
9000,0.46983317075610914,0.46983317075610914,0.20604415396933065,0.8851904654710988,0.8851904654710988,0.7289075148201666
9000,0.49253895600410197,0.49253895600410197,0.22038651375036872,0.883799804907331,0.883799804907331,0.6899924284954999
9000,0.652800080038018,0.652800080038018,0.3735388831419161,0.9491108276431305,0.9491108276431305,0.7626136235426213
9000,0.5809659588304444,0.5809659588304444,0.31996743029662084,0.9494459868437508,0.9494459868437508,0.7559787019151692
