AS,diff
41795.0,2897.0
41795.0,5583.0
41795.0,3505.0
41795.0,3263.0
41795.0,2897.0
41795.0,3263.0
41795.0,3222.0
41795.0,1996.0
41795.0,7483.0
41795.0,5001.0
41795.0,3583.0
41795.0,3263.0
41795.0,2897.0
41795.0,3583.0
