AS,Prefix-based LB Index,FRIEND-based LB Index,FRIEND Message Overhead,Prefix-based Message Overhead
8703.0,0.7598963525801596,0.5075040660473195,31.0,6568238.0
42176.0,0.5,0.562225901074103,1.0,125023.0
34276.0,0.5,0.5,1.0,123581.0
19721.0,0.9867782681861293,0.9868162836650262,189.0,3584015.0
38469.0,0.5009115014067461,0.501599091678995,18.0,561260.0
29889.0,0.20014840935996106,0.7891806790290689,42.0,248021.0
40039.0,0.5,0.6600275615114055,7.0,123795.0
41795.0,0.5,0.5135042983115539,2.0,247443.0
55048.0,0.1111111111111111,0.1111111111111111,1.0,281431.0
88.0,0.9999999999820817,0.3616079058847106,46.0,46785038.0
30484.0,0.5,0.5188376674900851,9.0,123792.0
26542.0,0.5,0.6020089060114817,2.0,123563.0
9852.0,0.5174016222839264,0.5524441882598796,41.0,529402.0
36390.0,0.9880719877454994,0.9421408189096437,463.0,28730480.0
39477.0,0.9999999647248862,0.9999999999858877,20.0,1256675.0
17693.0,0.5018143809998418,0.5004333774151687,0.0,264639.0
6569.0,0.5,0.9999999996914198,139.0,123552.0
18978.0,0.7324072231125045,0.7636115221319447,1383.0,10711996.0
53373.0,0.5058334149163561,0.7235966449233112,256.0,1048102.0
17270.0,0.5278402005444123,0.976477971969805,51.0,990692.0
19.0,0.9999999999999803,0.9999999999929094,571.0,23638602.0
62884.0,0.33333333333333337,0.9992394960563419,51.0,157842.0
40923.0,0.9999989129195247,0.9999999999944545,2243.0,3954338.0
40569.0,0.6679567337541001,0.92692828722423,34.0,388930.0
11309.0,0.6646578427274461,0.9999975722431551,46.0,1359490.0
40967.0,0.5,0.5105637127230749,113.0,126999.0
56282.0,0.6379378743912693,0.6666666578105241,69.0,2246796.0
13540.0,0.5012943841457813,0.8566078327042053,28.0,370640.0
20044.0,0.5027013074618897,0.559116676263036,9.0,265886.0
3428.0,0.9664199354551424,0.9969250480990949,977.0,23921684.0
55531.0,0.5035947889342902,0.5006040813635757,45.0,406489.0
3377.0,0.9999995939934921,0.33333333333333337,196.0,5312362.0
36040.0,0.02899136109587987,0.02899348339449688,33.0,657354.0
16015.0,0.3333333333333333,0.3333333333333333,0.0,134973.0
15307.0,0.9999999979852668,0.8952300108667818,142.0,7776687.0
133167.0,0.5,0.5693049701022008,2.0,142271.0
60190.0,0.5,0.9899919690138763,93.0,124450.0
12281.0,0.8081803063154765,0.9999999999931453,677.0,1861145.0
262518.0,0.25012825841964725,0.9954493053731134,7.0,552912.0
12853.0,0.8601762753622612,0.8392588348618483,30.0,2095883.0
28394.0,0.2559159277679809,0.2675651274537171,8.0,504090.0
35914.0,0.5195768676932997,0.5387006408225558,434.0,3218884.0
17326.0,0.9999999999965616,0.9999736253764271,230.0,3587369.0
9491.0,0.5,0.6672566787956647,32.0,133894.0
37893.0,0.5,0.9942598448857014,28.0,123596.0
46163.0,0.24512275514048532,0.2245017627913563,20.0,2490638.0
38624.0,0.33433939488645287,0.4671693953881276,32.0,544296.0
10156.0,0.6430814590208566,0.9999438056730832,8.0,397566.0
26264.0,0.5,0.9999999989853479,61.0,123795.0
14888.0,0.5,0.9683055791957049,18.0,123591.0
13325.0,0.42666702263138384,0.7651131481865,102.0,9036588.0
26857.0,0.7587359896717665,0.9998342300283696,38.0,494992.0
22886.0,0.7039122492429292,0.7866436965979037,30.0,371350.0
7859.0,0.7544741217303651,0.7549124085748455,126.0,8898601.0
44976.0,0.912103929768858,0.8695875344909868,15.0,1853980.0
133761.0,0.5,0.5,4.0,140965.0
7146.0,0.5,0.9957795948640478,239.0,131153.0
2129.0,0.22042213641338326,0.347041056991199,19.0,870307.0
60175.0,0.3333333333333333,0.6616832899989448,1.0,123572.0
55904.0,0.9942557845975115,0.9960891384147585,18.0,1520094.0
133070.0,0.28479659226453763,0.553849331443413,8.0,390241.0
197083.0,0.9884469239312025,0.9999993751445629,33.0,672263.0
12226.0,0.9992773358767456,0.9447407628369904,454.0,14411206.0
51525.0,0.5007768856927013,0.9999972421201762,103.0,265395.0
7160.0,0.3288595020432841,0.8278782430813287,6188.0,40592033.0
8518.0,0.9262678769039553,0.9879087040303332,36.0,883003.0
23234.0,0.5,0.9999999968026742,33.0,123622.0
29823.0,0.3333333333333333,0.3366866927496733,4.0,124330.0
56351.0,0.9727476347253977,0.5059522378009623,5.0,293172.0
28747.0,0.9999996532497094,0.999999999704589,32.0,1126347.0
53567.0,0.5406978259292072,0.9999999999999952,1248.0,517656.0
3145.0,0.5,0.5000010546408024,2.0,123552.0
3321.0,0.9804793236132147,0.9136850668352705,69.0,3441421.0
393856.0,0.9190261489581573,0.9999999999994353,609.0,2844848.0
25046.0,0.9999956035931549,0.999999999999994,943.0,2083708.0
7415.0,0.16666666666666669,0.1680171281416236,12.0,124488.0
39662.0,0.5657609896478384,0.7833581585413308,5.0,371800.0
199015.0,0.5,0.9997817373576966,21.0,126248.0
21069.0,0.3601571351007021,0.36012304903662584,37.0,1983573.0
31498.0,0.9991037943861025,0.9247567967299757,72.0,494626.0
7386.0,0.9999999957451989,0.9999999967831832,269.0,22649300.0
34118.0,0.5,0.5,0.0,124955.0
12511.0,0.5189756416345268,0.5070120879752763,67.0,2491470.0
40112.0,0.999999999972084,0.6471507158222758,5522.0,33455942.0
199563.0,0.9999999999967664,0.9999999999980176,496.0,21999111.0
34173.0,0.5,0.9999997887137544,19.0,125331.0
39029.0,0.9647300572274746,0.9646439142790365,13.0,1738165.0
47571.0,0.5017975854191555,0.5,0.0,258551.0
8137.0,0.9906952762071698,0.9966516100243017,87.0,2722554.0
4237.0,0.9306472998634137,0.9425797275514344,172.0,6097035.0
